SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
HTTP;0;0.03;0.14;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;1.9E-07;0;0;0;0;1;0;0;0;0;0
UK;0;0.005;0.135;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2,92E-01;0;0;0;0;0;0;0;0;0;1
AS;0;0.01;0.13;0.01;0;0;0;0;0;0;0;0;0;1;1;1;1;1;8,24E-02;0;1;0;0;0;0;0;0;0;0
HTTP;0.005;0.02;0.12;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;7,15E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.31;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.01;0;0.31;0;0.04;0;0;1;0;0;0;0;0;1;1;1;1;1;1,75E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.32;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
NW;0.02;0;0.285;0;0.008;0;0;0;0;0;0;0;0;1;1;1;1;1;7,80E-03;0;0;0;0;0;0;0;1;0;0
NW;0;0;0.23;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;7,68E-04;0;0;0;0;0;0;0;1;0;0
AS;0.01;0;0.21;0;0.004;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.205;0;0.004;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
NW;0.025;0;0.175;0;0.01;0;0;0;0;0;0;0;0;1;1;1;1;1;7,30E-03;0;0;0;0;0;0;0;1;0;0
NW;0.03;0;0.15;0;0.012;0;0;0;0;0;0;0;0;1;1;1;1;1;7,30E-03;0;0;0;0;0;0;0;1;0;0
AS;0;0;0.15;0;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
NW;0.035;0;0.145;0;0.014;0;0;0;0;0;0;0;0;1;1;1;1;1;8,56E-03;0;0;0;0;0;0;0;1;0;0
AS;0.01;0;0.11;0;0.004;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
NA;0.55;0.065;0.095;0.405;0.268;0;0;0;0;0;0;0;0;1;1;1;1;1;1,36E-01;1;0;0;0;0;0;0;0;0;0
