SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
UK;0.015;0;0.15;0;0.02;0;0;1;0;0;0;0;0;1;1;1;1;1;3.89E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0;0;0.15;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.15;0;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;9.94E-04;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.375;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;4.66E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.375;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
AS;0.015;0;0.335;0.005;0.012;0;0;1;0;0;0;0;0;1;1;1;1;1;6.54E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.315;0;0.01;0;0;1;0;0;0;0;0;1;1;1;1;1;5.39E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.16;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.62E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.64;0;0.18;0;0.522;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.635;0;0.18;0;0.546;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.18;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;7.94E-01;0;1;0;0;0;0;0;0;0;0
